tech
Bioenergy + CCUS
Bioenergy - Large scale unit
CCGT
CCGT + CCS
Coal + CCS
Gas turbine
IGCC
IGCC + CCS
Nuclear large
Oxyfuel + CCS
Steam Coal - SUBCRITICAL
Steam Coal - SUPERCRITICAL
Steam Coal - ULTRASUPERCRITICAL
